area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Armenia,1,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.72
Armenia,1,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Armenia,1,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Armenia,1,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Armenia,1,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Armenia,1,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Armenia,1,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Armenia,1,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Armenia,1,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Afghanistan,2,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Afghanistan,2,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Afghanistan,2,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Afghanistan,2,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Afghanistan,2,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Afghanistan,2,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Afghanistan,2,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.1
Afghanistan,2,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Afghanistan,2,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Albania,3,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Albania,3,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Albania,3,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.84
Albania,3,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Albania,3,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Albania,3,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Albania,3,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Albania,3,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Albania,3,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Algeria,4,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Algeria,4,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Algeria,4,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Algeria,4,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Algeria,4,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Algeria,4,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Algeria,4,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Algeria,4,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Algeria,4,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.73
American Samoa,5,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
American Samoa,5,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
American Samoa,5,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
