iso3c,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125
ARM,18.415897,21.171928,6.5675945,17.179758,15.553339,11.871744,2.2218099,2.6343582,2.3421507,23.636436,,,,,,19.609087,7.7533312,9.3379192,6.8859692,2.3644414,8.5276155,6.9189243,14.606123,,18.725056,,,,4.2630429,,29.502325,22.798611,24.993025,32.303745,,,29.08814,,,27.229477,,,26.485195,6.5155072,,,26.001469,24.982912,,,,,,,,,,,17.938223,,16.844355,0.24087507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2.2096486,1.6142497,0.43239149,1.2505978,2.6090448,2.7615411,0.14114903,0.30687854,,2.7145882,,0.024344034,8.6664581,,2.1878896,5.863935,0.31559828,0.074362554,0.24905621,0.589818,0.32134157,0.24867964,1.8801258,4.5032845,1.0132602,0.35766584,4.3875866,,,,1.8081992,0.90733737,1.029846,1.7527691,1.752769,,,2.0047793,,1.7527658,,1.7527733,1.7527703,1.7527686,,,,,3.4943688,,,,4.4793077,4.868783,,,,,1.222771,,4.2018819,0.2741757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,50.372395,49.999989,20,42.787697,40.000004,43.549683,58.681606,36.968868,,29.999998,,7.1345396,,,,98.20842,15.287717,14.485313,23.331921,0.59394872,5.8914685,14.616411,40,31.394094,69.927788,,53.148964,,40.746246,,40.000004,20,19.999998,9.999999,10,10,10,49.982567,,43.508827,,,38.408855,72.089737,,,,114.15264,,,,,,,,,,,15.000003,,,1.0187279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,14.572422,0,11.582984,12.378213,,12.598649,,10.69486,12.125886,119.99997,,,,,,28.411077,4.4226389,4.1905088,6.7497787,,,4.228436,5.3817496,9.0821095,20.229681,,,,11.787624,,2,2,2,14.478496,15.558102,20.707331,31.161594,,,12.586827,,46.439495,11.11144,20.855103,,,,,,,,,,,,,,,7.6367073,,8.3918915,0.29471168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,0.89305872,1.0267084,0.31848812,0.83311331,,,0.10774419,0.12775022,,1.1462216,0.14719602,1.110646,1.684764,0.036913484,0.97773868,,0.37598875,0.45283183,0.33392727,,0.41353717,0.33552516,0.7083078,,0.90805084,,0.88575828,0.73626202,,,1.4306828,1.1055927,1.2120087,1.5665334,1.1403869,1.3635194,1.4105963,2.2614381,0.38418597,,0.73274732,,,0.31596223,0.62811273,0.36787146,1.2609118,,0.65836644,,,,,0.94649392,,0.0283949,,,0.86989301,0.2408563,,0.011680958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,35.999966,34.999992,24.999994,20.000008,18.891289,36.000072,27.210066,4.9999933,19.435797,24.00001,8.4442682,3.3082089,,1.9997927,44.000015,45.538246,11.999993,12.000002,,0.275408,5.0000014,20.000042,12.499996,14.557115,24.000015,,24.644636,39.070065,18.89361,,59.999996,60.000069,60.000027,55.99992,56.000271,56.000092,,12.000006,,11.999998,11.999995,,11.999997,12,40.663048,,0.14999999,52.931423,,,,,,41.35247,,,,,9.9999914,,13.450818,0.47237426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,39.840488,37.573799,38.356712,34.391209,37.813469,37.813377,32.644352,31.569841,,107.694,,70.916107,,,158.49181,,60.620918,79.195488,,10.773558,10.691852,8.8066902,9.7060194,11.956813,102.40118,,,,11.282331,,171.0083,145.33827,100.50947,109.24853,64.68808,114.07973,221.61688,84.194954,,66.713043,153.53119,,51.489292,,,,,112.82353,,,,,,,,,,,108.58011,,,0.22184622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,142.5695,121.49402,148.7682,85.541702,85.54171,60.777187,102.07768,,136.37086,,,,,,105.37748,2.4794695,2.47947,48.148403,,32.469547,,55.788055,161.16548,,,,,,0,133.89136,133.89134,133.89139,,,,,,,42.15097,,,42.150974,42.150982,,,,158.68607,,,,,,,,,,,141.2641,,0,7.6892362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
