iso3c,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125
ARM,0.001284408,0.002121367,0.00082473,0.001050102,0.000936496,0.000655948,0.000148627,0.000235688,0.000375634,0.002085061,0,0,0,0,0,0.002469898,0.00221388,0.00264612,0.002228345,0.0008602,0.001927504,0.001254244,0.001133758,0,0.001461838,0,0,0,0.000733165,0,0.002649564,0.002240843,0.002349154,0.002798951,0,0,0.002983016,0,0,0.002614655,0,0,0.002948891,0.001136193,0,0,0.001692341,0.001577666,0,0,0,0,0,0,0,0,0,0,0.00243868,0,0.002521488,3.54502E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,0.051837641,0.105286307,0.090979395,0.041722997,0.084330465,0.123465048,0.005085278,0.01780074,0,0.14116102,0,0.00490285,0.882513291,0,0.17001667,0.301200442,0.046151521,0.011123753,0.021581723,0.112274982,0.038732548,0.019052197,0.099881857,0.18207036,0.054253984,0.022632596,0.202474589,0,0,0,0.214789948,0.078966938,0.093564074,0.088251233,0.088251233,0,0,0.071643611,0,0.08825108,0,0.088251443,0.088251299,0.088251198,0,0,0,0,0.174973872,0,0,0,0.112765702,0.318686413,0,0,0,0,0.144614255,0,0.32910957,0.010213705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,15.06192859,9.601254698,4.364206681,10.11615777,2.182103559,12.09188214,9.725298981,7.033825512,0,13.09261917,0,1.479134167,0,0,0,27.42187645,5.764995701,7.066569719,5.926295907,8.468021661,15.01076045,5.517309951,13.09262092,15.5028876,21.44829524,0,12.5611295,0,5.980951049,0,17.45682847,21.82103166,21.82103341,4.364206245,4.364206681,4.364206681,4.364206681,10.2659404,0,8.27580236,0,0,8.540505897,13.54957299,0,0,0,15.53093156,0,0,0,0,0,0,0,0,0,0,4.364207117,0,0,0.205888197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,3.449322803,3.895458283,2.06390225,2.316695125,0,2.769154384,0,1.610811709,1.693681011,15.24310209,0,0,0,0,0,6.279866475,1.320237504,1.618310027,1.357177808,0,0,1.263515779,1.002798377,3.550304305,4.911862249,0,0,0,1.369692825,0,0,0,0,1.961052824,1.9195037,2.992872129,3.575838755,0,0,1.895235525,0,4.725360931,1.955855709,3.102979929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.100837579,0,1.287194786,0.047150278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,0.049218022,0.081289861,0.031603309,0.040239509,0,0,0.005695323,0.009031478,0,0.079898713,0.012988542,0.067637152,0.259094571,0.002015181,0.062197447,0,0.084834963,0.101398196,0.085389199,0,0.073861113,0.048062109,0.043445112,0,0.056017059,0,0.06064224,0.035693946,0,0,0.101530139,0.085868171,0.090018536,0.107254626,0.093730036,0.109802777,0.114307904,0.086286869,0.036363724,0,0.076589815,0,0,0.043538475,0.044842389,0.031488144,0.064849794,0,0.050425192,0,0,0,0,0.093562202,0,0.064773508,0,0,0.093449165,0.025283862,0,0.001358437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,7.423135442,7.423135442,2.969254875,7.423135878,5.905271778,11.87702963,7.80913032,2.969254046,5.938521359,29.69255093,11.6425875,1.187700693,0,0.803783308,1.48462735,22.01897287,5.938513503,5.938509576,0,6.799576719,1.48462735,2.969258236,1.484626914,12.44837149,1.484626914,0,10.08622542,12.5046955,4.802528834,0,10.39238936,10.3923863,10.39240114,8.907764363,8.907784439,8.907766982,0,2.969256141,0,2.969253217,2.969254482,0,2.969253435,2.969254701,7.721443807,0,0.014846271,12.47088905,0,0,0,0,0,19.30022878,0,0,0,0,2.969254701,0,4.513267906,0.165322512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,15.80737525,13.4206696,13.88300231,12.89598547,13.65715374,13.65713149,11.70903996,11.45694724,0,40.27505299,0,49.52692457,0,0,22.87642994,0,20.16750488,25.18786393,0,10.47778292,10.38541666,7.925079,9.119234617,11.26115802,9.20166968,0,0,0,10.42495594,0,61.63371833,59.49471154,32.99451407,21.11956443,16.20795923,27.63806878,57.04609919,14.16004128,0,18.05238164,39.34205194,0,15.45086538,0,0,0,0,19.37033235,0,0,0,0,0,0,0,0,0,0,80.91338254,0,0,0.539427162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,0,11.78335629,10.9105167,24.4395692,9.601254698,9.60125819,12.48873516,12.24389444,0,24.00314024,0,0,0,0,0,22.69387474,3.054944459,3.054945506,22.90437527,0,18.80866287,0,15.27472164,25.31239046,0,0,0,0,0,7.419152231,26.18524183,26.18523834,26.18524358,0,0,0,0,0,0,7.855571153,0,0,7.85557028,7.855572026,0,0,0,14.66704164,0,0,0,0,0,0,0,0,0,0,54.25035784,0,7.419151358,2.214673109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
