area_code,area,value,water_type,unit
1,Armenia,240,green,m3 per tonne dm
2,Afghanistan,331,green,m3 per tonne dm
3,Albania,317,green,m3 per tonne dm
4,Algeria,868,green,m3 per tonne dm
7,Angola,329,green,m3 per tonne dm
8,Antigua and Barbuda,315,green,m3 per tonne dm
9,Argentina,287,green,m3 per tonne dm
10,Australia,762,green,m3 per tonne dm
11,Austria,202,green,m3 per tonne dm
12,Bahamas,315,green,m3 per tonne dm
13,Bahrain,92,green,m3 per tonne dm
14,Barbados,315,green,m3 per tonne dm
15,Belgium-Luxembourg,315,green,m3 per tonne dm
16,Bangladesh,301,green,m3 per tonne dm
19,Bolivia (Plurinational State of),1591,green,m3 per tonne dm
20,Botswana,395,green,m3 per tonne dm
21,Brazil,307,green,m3 per tonne dm
23,Belize,328,green,m3 per tonne dm
25,Solomon Islands,315,green,m3 per tonne dm
26,Brunei Darussalam,301,green,m3 per tonne dm
27,Bulgaria,570,green,m3 per tonne dm
28,Myanmar,306,green,m3 per tonne dm
29,Burundi,281,green,m3 per tonne dm
32,Cameroon,450,green,m3 per tonne dm
33,Canada,203,green,m3 per tonne dm
35,Cabo Verde,315,green,m3 per tonne dm
37,Central African Republic,329,green,m3 per tonne dm
38,Sri Lanka,438,green,m3 per tonne dm
39,Chad,453,green,m3 per tonne dm
40,Chile,224,green,m3 per tonne dm
41,"China, mainland",225,green,m3 per tonne dm
44,Colombia,272,green,m3 per tonne dm
46,Congo,283,green,m3 per tonne dm
48,Costa Rica,315,green,m3 per tonne dm
49,Cuba,338,green,m3 per tonne dm
50,Cyprus,668,green,m3 per tonne dm
51,Czechoslovakia,162,green,m3 per tonne dm
52,Azerbaijan,256,green,m3 per tonne dm
53,Benin,366,green,m3 per tonne dm
54,Denmark,68,green,m3 per tonne dm
55,Dominica,315,green,m3 per tonne dm
56,Dominican Republic,334,green,m3 per tonne dm
57,Belarus,151,green,m3 per tonne dm
58,Ecuador,283,green,m3 per tonne dm
59,Egypt,225,green,m3 per tonne dm
60,El Salvador,299,green,m3 per tonne dm
63,Estonia,131,green,m3 per tonne dm
66,Fiji,315,green,m3 per tonne dm
67,Finland,119,green,m3 per tonne dm
68,France,156,green,m3 per tonne dm
70,French Polynesia,315,green,m3 per tonne dm
72,Djibouti,366,green,m3 per tonne dm
73,Georgia,194,green,m3 per tonne dm
74,Gabon,271,green,m3 per tonne dm
75,Gambia,382,green,m3 per tonne dm
79,Germany,131,green,m3 per tonne dm
80,Bosnia and Herzegovina,195,green,m3 per tonne dm
81,Ghana,319,green,m3 per tonne dm
83,Kiribati,315,green,m3 per tonne dm
84,Greece,277,green,m3 per tonne dm
86,Grenada,315,green,m3 per tonne dm
89,Guatemala,315,green,m3 per tonne dm
90,Guinea,347,green,m3 per tonne dm
91,Guyana,273,green,m3 per tonne dm
93,Haiti,310,green,m3 per tonne dm
95,Honduras,305,green,m3 per tonne dm
96,"China, Hong Kong SAR",315,green,m3 per tonne dm
97,Hungary,280,green,m3 per tonne dm
98,Croatia,329,green,m3 per tonne dm
99,Iceland,315,green,m3 per tonne dm
100,India,407,green,m3 per tonne dm
101,Indonesia,339,green,m3 per tonne dm
102,Iran (Islamic Republic of),458,green,m3 per tonne dm
103,Iraq,188,green,m3 per tonne dm
104,Ireland,121,green,m3 per tonne dm
105,Israel,311,green,m3 per tonne dm
106,Italy,218,green,m3 per tonne dm
107,Côte d'Ivoire,310,green,m3 per tonne dm
108,Kazakhstan,278,green,m3 per tonne dm
109,Jamaica,331,green,m3 per tonne dm
110,Japan,149,green,m3 per tonne dm
112,Jordan,2316,green,m3 per tonne dm
113,Kyrgyzstan,229,green,m3 per tonne dm
114,Kenya,399,green,m3 per tonne dm
115,Cambodia,334,green,m3 per tonne dm
116,Democratic People's Republic of Korea,195,green,m3 per tonne dm
117,Republic of Korea,240,green,m3 per tonne dm
118,Kuwait,198,green,m3 per tonne dm
119,Latvia,134,green,m3 per tonne dm
120,Lao People's Democratic Republic,294,green,m3 per tonne dm
121,Lebanon,237,green,m3 per tonne dm
122,Lesotho,340,green,m3 per tonne dm
123,Liberia,315,green,m3 per tonne dm
124,Libya,246,green,m3 per tonne dm
126,Lithuania,140,green,m3 per tonne dm
128,"China, Macao SAR",315,green,m3 per tonne dm
129,Madagascar,323,green,m3 per tonne dm
130,Malawi,368,green,m3 per tonne dm
131,Malaysia,337,green,m3 per tonne dm
132,Maldives,315,green,m3 per tonne dm
133,Mali,421,green,m3 per tonne dm
134,Malta,315,green,m3 per tonne dm
